ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
318114,80,E,3,113,,.274,72.461,38.540546,-121.734852,,FR,1,Richard Blvd,,,,
318113,80,E,3,113,,.323,72.51,38.541047,-121.73425,0.774,ML,3,Richard Blvd,,,,
318115,80,E,3,113,,.405,72.592,38.541883,-121.73323899999998,,OR,1,Richard Blvd,,,,
316773,80,E,3,113,,1.25,73.437,38.547128,-121.71973,0.838,ML,3,E. of Pole Line Rd.,,,,
316778,80,W,3,113,,1.25,73.437,38.547332,-121.719907,0.863,ML,3,E. of Pole Line Rd.,,,,
318017,80,E,3,113,,2,74.187,38.550149,-121.706428,0.675,ML,3,West of Mace Blvd,,,,
318022,80,W,3,113,,2,74.187,38.550321000000004,-121.70660900000001,0.6,ML,3,West of Mace Blvd,,,,
314015,80,E,3,113,18100.0,2.447,74.634,38.551854999999996,-121.69846899999999,,FR,2,SB Mace Blvd.,R197,,,
313979,80,W,3,113,18100.0,2.45,74.637,38.552058,-121.698617,0.75,ML,3,Mace Blvd.,R196,,,
313980,80,W,3,113,18100.0,2.45,74.637,38.552058,-121.698617,,OR,2,Mace Blvd.,R196,,,
314013,80,E,3,113,18100.0,2.6,74.78699999999999,38.552240999999995,-121.69568799999999,0.4,ML,3,SB Mace Blvd.,R197,,,
314014,80,E,3,113,18100.0,2.6,74.78699999999999,38.552240999999995,-121.69568799999999,,OR,2,SB Mace Blvd.,R197,,,
313981,80,W,3,113,18100.0,2.729,74.916,38.552944000000004,-121.693607,,FR,2,Mace Blvd.,R196,,,
314025,80,E,3,113,18100.0,2.8,74.987,38.553123,-121.692178,0.45,ML,3,NB Mace Blvd.,R198,,,
314026,80,E,3,113,18100.0,2.8,74.987,38.553123,-121.692178,,OR,2,NB Mace Blvd.,R198,,,
316783,80,E,3,113,,3.5,75.687,38.556203000000004,-121.67986699999999,0.6,ML,3,E. of Mace Blvd,,,,
316788,80,W,3,113,,3.5,75.687,38.556385,-121.680098,0.775,ML,3,E. of Mace Blvd,,,,
318067,80,E,3,113,,4,76.187,38.558143,-121.67096299999999,0.501,ML,3,W of CR 105d,,,,
318068,80,W,3,113,,4,76.187,38.558305,-121.67120600000001,0.501,ML,3,W of CR 105d,,,,
318077,80,W,3,113,,4.501,76.688,38.559664,-121.662131,0.852,ML,3,E of CR 105d,,,,
318076,80,E,3,113,,4.501,76.688,38.559509999999996,-121.661873,0.852,ML,3,E of CR 105d,,,,
318055,80,E,3,113,,5.645,77.832,38.562834,-121.64116200000001,,OR,1,W of Webster UC,,,,
318052,80,W,3,113,,5.704,77.891,38.563162,-121.640398,1.2229999999999999,ML,3,W of Webster UC,,,,
318053,80,E,3,113,,5.704,77.891,38.563016999999995,-121.640097,1.2229999999999999,ML,3,W of Webster UC,,,,
318054,80,W,3,113,,5.769,77.956,38.563359000000005,-121.639225,,FR,1,W of Webster UC,,,,
316803,80,E,3,113,,6.947,79.134,38.567081,-121.617723,1.62,ML,3,E. of Webster UC,,,,
316808,80,W,3,113,,6.947,79.134,38.567246999999995,-121.61782,1.62,ML,3,E. of Webster UC,,,,
317028,80,E,3,113,84816.0,8.946,81.133,38.573494000000004,-121.58170600000001,1.079,ML,3,JWO Enterprise BL,,,,
317033,80,W,3,113,84816.0,8.946,81.133,38.573676,-121.58176100000001,1.075,ML,3,JWO Enterprise BL,,,,
318126,80,W,3,113,84816.0,9.099,81.286,38.574177,-121.57890400000001,0.29100000000000004,ML,4,Enterprise Blvd,,,,
314549,80,E,3,113,84816.0,9.105,81.292,38.57397,-121.578763,,OR,2,Enterprise Blvd,,,,
314548,80,E,3,113,84816.0,9.105,81.292,38.57397,-121.578763,0.7759999999999999,ML,5,Enterprise Blvd,,,,
318127,80,W,3,113,84816.0,9.111,81.298,38.574215,-121.57867900000001,,OR,1,Enterprise Blvd,,,,
318142,80,W,3,113,84816.0,R9.53,81.717,38.575333,-121.571347,0.7,ML,4,E of Enterprise BL,,,,
318738,80,W,3,113,84816.0,R9.531,81.718,38.575334999999995,-121.571329,,FR,1,W. Capitol Ave,,,,
